time,p,T,Tve,rho
0.000508,46833.5,298.15,348.432,0.52924
0.00051,46788.2,298.15,348.432,0.528729
0.000512,46743.2,298.15,348.432,0.52822
0.000514,46698.4,298.15,348.432,0.527714
0.000516,46653.8,298.15,348.432,0.52721
0.000518,46609.4,298.15,348.432,0.526708
0.00052,46565.3,298.15,348.432,0.52621
0.000522,46521.4,298.15,348.432,0.525713
0.000524,46477.7,298.15,348.432,0.52522
0.000526,46434.2,298.15,348.432,0.524729
0.000528,46391,298.15,348.432,0.52424
0.00053,46348,298.15,348.432,0.523754
0.000532,46305.2,298.15,348.432,0.52327
0.000534,46262.7,298.15,348.432,0.52279
0.000536,46220.3,298.15,348.432,0.522311
0.000538,46178.2,298.15,348.432,0.521836
0.00054,46136.4,298.15,348.432,0.521362
0.000542,46094.7,298.15,348.432,0.520892
0.000544,46053.3,298.15,348.432,0.520424
0.000546,46012.1,298.15,348.432,0.519959
0.000548,45971.2,298.15,348.432,0.519496
0.00055,45930.5,298.15,348.432,0.519036
0.000552,45890,298.15,348.432,0.518578
0.000554,45849.8,298.15,348.432,0.518124
0.000556,45809.7,298.15,348.432,0.517671
0.000558,45770,298.15,348.432,0.517222
0.00056,45730.4,298.15,348.432,0.516775
0.000562,45691.1,298.15,348.432,0.516331
0.000564,45652,298.15,348.432,0.515889
0.000566,45613.2,298.15,348.432,0.515451
0.000568,45574.6,298.15,348.432,0.515014
0.00057,45536.3,298.15,348.432,0.514581
0.000572,45498.1,298.15,348.432,0.51415
0.000574,45460.2,298.15,348.432,0.513722
0.000576,45422.6,298.15,348.432,0.513296
0.000578,45385.2,298.15,348.432,0.512874
0.00058,45348,298.15,348.432,0.512454
0.000582,45311.1,298.15,348.432,0.512036
0.000584,45274.4,298.15,348.432,0.511622
0.000586,45237.9,298.15,348.432,0.51121
0.000588,45201.7,298.15,348.432,0.5108
0.00059,45165.7,298.15,348.432,0.510394
0.000592,45130,298.15,348.432,0.50999
0.000594,45094.5,298.15,348.432,0.509588
0.000596,45059.2,298.15,348.432,0.50919
0.000598,45024.2,298.15,348.432,0.508794
0.0006,44989.4,298.15,348.432,0.508401
0.000602,44954.8,298.15,348.432,0.50801
0.000604,44920.5,298.15,348.432,0.507622
0.000606,44886.4,298.15,348.432,0.507237
0.000608,44852.5,298.15,348.432,0.506855
0.00061,44818.9,298.15,348.432,0.506475
0.000612,44785.6,298.15,348.432,0.506098
0.000614,44752.4,298.15,348.432,0.505723
0.000616,44719.5,298.15,348.432,0.505351
0.000618,44686.8,298.15,348.432,0.504982
0.00062,44654.4,298.15,348.432,0.504615
0.000622,44622.2,298.15,348.432,0.504251
0.000624,44590.2,298.15,348.432,0.50389
0.000626,44558.5,298.15,348.432,0.503531
0.000628,44526.9,298.15,348.432,0.503175
0.00063,44495.7,298.15,348.432,0.502822
0.000632,44464.6,298.15,348.432,0.502471
0.000634,44433.8,298.15,348.432,0.502122
0.000636,44403.2,298.15,348.432,0.501777
0.000638,44372.8,298.15,348.432,0.501433
0.00064,44342.6,298.15,348.432,0.501093
0.000642,44312.7,298.15,348.432,0.500754
0.000644,44283,298.15,348.432,0.500419
0.000646,44253.5,298.15,348.432,0.500085
0.000648,44224.3,298.15,348.432,0.499755
0.00065,44195.2,298.15,348.432,0.499427
0.000652,44166.4,298.15,348.432,0.499101
0.000654,44137.8,298.15,348.432,0.498778
0.000656,44109.4,298.15,348.432,0.498457
0.000658,44081.2,298.15,348.432,0.498138
0.00066,44053.2,298.15,348.432,0.497822
0.000662,44025.5,298.15,348.432,0.497509
0.000664,43997.9,298.15,348.432,0.497197
0.000666,43970.6,298.15,348.432,0.496888
0.000668,43943.5,298.15,348.432,0.496582
0.00067,43916.6,298.15,348.432,0.496278
0.000672,43889.8,298.15,348.432,0.495976
0.000674,43863.3,298.15,348.432,0.495676
0.000676,43837,298.15,348.432,0.495379
0.000678,43810.9,298.15,348.432,0.495083
0.00068,43785,298.15,348.432,0.49479
0.000682,43759.2,298.15,348.432,0.4945
0.000684,43733.7,298.15,348.432,0.494211
0.000686,43708.4,298.15,348.432,0.493925
0.000688,43683.2,298.15,348.432,0.493641
0.00069,43658.3,298.15,348.432,0.493359
0.000692,43633.5,298.15,348.432,0.493079
0.000694,43608.9,298.15,348.432,0.492801
0.000696,43584.5,298.15,348.432,0.492525
0.000698,43560.3,298.15,348.432,0.492251
0.0007,43536.2,298.15,348.432,0.49198
0.000702,43512.3,298.15,348.432,0.49171
0.000704,43488.7,298.15,348.432,0.491442
0.000706,43465.1,298.15,348.432,0.491176
0.000708,43441.8,298.15,348.432,0.490912
0.00071,43418.6,298.15,348.432,0.490651
0.000712,43395.6,298.15,348.432,0.49039
0.000714,43372.8,298.15,348.432,0.490132
0.000716,43350.1,298.15,348.432,0.489876
0.000718,43327.5,298.15,348.432,0.489621
0.00072,43305.2,298.15,348.432,0.489369
0.000722,43283,298.15,348.432,0.489118
0.000724,43260.9,298.15,348.432,0.488869
0.000726,43239,298.15,348.432,0.488621
0.000728,43217.3,298.15,348.432,0.488375
0.00073,43195.7,298.15,348.432,0.488131
0.000732,43174.2,298.15,348.432,0.487889
0.000734,43152.9,298.15,348.432,0.487648
0.000736,43131.8,298.15,348.432,0.487409
0.000738,43110.7,298.15,348.432,0.487171
0.00074,43089.9,298.15,348.432,0.486935
0.000742,43069.1,298.15,348.432,0.486701
0.000744,43048.5,298.15,348.432,0.486468
0.000746,43028,298.15,348.432,0.486237
0.000748,43007.7,298.15,348.432,0.486007
0.00075,42987.5,298.15,348.432,0.485779
0.000752,42967.4,298.15,348.432,0.485552
0.000754,42947.5,298.15,348.432,0.485327
0.000756,42927.7,298.15,348.432,0.485103
0.000758,42908,298.15,348.432,0.48488
0.00076,42888.4,298.15,348.432,0.484659
0.000762,42869,298.15,348.432,0.484439
0.000764,42849.7,298.15,348.432,0.484221
0.000766,42830.5,298.15,348.432,0.484004
0.000768,42811.4,298.15,348.432,0.483789
0.00077,42792.4,298.15,348.432,0.483574
0.000772,42773.6,298.15,348.432,0.483361
0.000774,42754.9,298.15,348.432,0.48315
0.000776,42736.2,298.15,348.432,0.482939
0.000778,42717.7,298.15,348.432,0.48273
0.00078,42699.4,298.15,348.432,0.482523
0.000782,42681.1,298.15,348.432,0.482316
0.000784,42662.9,298.15,348.432,0.482111
0.000786,42644.9,298.15,348.432,0.481907
0.000788,42626.9,298.15,348.432,0.481704
0.00079,42609.1,298.15,348.432,0.481502
0.000792,42591.3,298.15,348.432,0.481302
0.000794,42573.7,298.15,348.432,0.481102
0.000796,42556.1,298.15,348.432,0.480904
0.000798,42538.7,298.15,348.432,0.480707
0.0008,42521.3,298.15,348.432,0.480511
0.000802,42504.1,298.15,348.432,0.480316
0.000804,42487,298.15,348.432,0.480122
0.000806,42469.9,298.15,348.432,0.47993
0.000808,42453,298.15,348.432,0.479738
0.00081,42436.1,298.15,348.432,0.479548
0.000812,42419.3,298.15,348.432,0.479358
0.000814,42402.7,298.15,348.432,0.47917
0.000816,42386.1,298.15,348.432,0.478982
0.000818,42369.6,298.15,348.432,0.478796
0.00082,42353.2,298.15,348.432,0.478611
0.000822,42336.9,298.15,348.432,0.478426
0.000824,42320.6,298.15,348.432,0.478243
0.000826,42304.5,298.15,348.432,0.47806
0.000828,42288.4,298.15,348.432,0.477879
0.00083,42272.4,298.15,348.432,0.477698
0.000832,42256.5,298.15,348.432,0.477519
0.000834,42240.7,298.15,348.432,0.47734
0.000836,42225,298.15,348.432,0.477162
0.000838,42209.3,298.15,348.432,0.476985
0.00084,42193.7,298.15,348.432,0.476809
0.000842,42178.3,298.15,348.432,0.476634
0.000844,42162.8,298.15,348.432,0.47646
0.000846,42147.5,298.15,348.432,0.476286
0.000848,42132.2,298.15,348.432,0.476114
0.00085,42117,298.15,348.432,0.475942
0.000852,42101.9,298.15,348.432,0.475771
0.000854,42086.8,298.15,348.432,0.475601
0.000856,42071.9,298.15,348.432,0.475432
0.000858,42057,298.15,348.432,0.475263
0.00086,42042.1,298.15,348.432,0.475096
0.000862,42027.4,298.15,348.432,0.474929
0.000864,42012.7,298.15,348.432,0.474763
0.000866,41998,298.15,348.432,0.474597
0.000868,41983.5,298.15,348.432,0.474433
0.00087,41969,298.15,348.432,0.474269
0.000872,41954.5,298.15,348.432,0.474106
0.000874,41940.2,298.15,348.432,0.473944
0.000876,41925.9,298.15,348.432,0.473782
0.000878,41911.6,298.15,348.432,0.473621
0.00088,41897.5,298.15,348.432,0.473461
0.000882,41883.3,298.15,348.432,0.473301
0.000884,41869.3,298.15,348.432,0.473142
0.000886,41855.3,298.15,348.432,0.472984
0.000888,41841.4,298.15,348.432,0.472827
0.00089,41827.5,298.15,348.432,0.47267
0.000892,41813.7,298.15,348.432,0.472514
0.000894,41799.9,298.15,348.432,0.472359
0.000896,41786.2,298.15,348.432,0.472204
0.000898,41772.6,298.15,348.432,0.47205
0.0009,41759,298.15,348.432,0.471896
0.000902,41745.5,298.15,348.432,0.471743
0.000904,41732,298.15,348.432,0.471591
0.000906,41718.6,298.15,348.432,0.471439
0.000908,41705.2,298.15,348.432,0.471288
0.00091,41691.9,298.15,348.432,0.471138
0.000912,41678.6,298.15,348.432,0.470988
0.000914,41665.4,298.15,348.432,0.470838
0.000916,41652.2,298.15,348.432,0.47069
0.000918,41639.1,298.15,348.432,0.470542
0.00092,41626.1,298.15,348.432,0.470394
0.000922,41613.1,298.15,348.432,0.470247
0.000924,41600.1,298.15,348.432,0.4701
